Pool,Title,Author,Publication Title,Vote_1,Vote_2,Final_Decision,Rationale
Pool 2 (C&D),What Lies Beneath? Exploring the Impact of Underlying AI Model Updates in AI-Infused Systems,"Mohanty, Vikram; Lim, Jude; Luther, Kurt",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Include,Exclude,Exclude,Mentions AI updates but no mention of true AI dark patterns
Pool 2 (C&D),What do Large Language Models Say About Animals? Investigating Risks of Animal Harm in Generated Text,"Kanepajs, Arturs; Basu, Aditi; Ghose, Sankalpa; Li, Constance; Mehta, Akshat; Mehta, Ronak; Tucker-Davis, Samuel David; Fischer, Bob; Anthis, Jacy Reese","Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency",Include,For Consideration,Include,Mostly technical but mentions an important AI dark pattern
Pool 2 (C&D),When AI Chatbots Ask for Donations: The Construal Level Contingency of AI Persuasion Effectiveness in Charity Human–Chatbot Interaction,"Sun, J.; Si, J.",Journal of Theoretical and Applied Electronic Commerce Research,For Consideration,Include,Include,"Persuasion in AI, especially towards monetisation"
Pool 2 (C&D),"When AI Gets Persuaded, Humans Follow: Inducing the Conformity Effect in Persuasive Dialogue","Sasaki, Rikuo; Inaba, Michimasa",Proceedings of the 13th International Conference on Human-Agent Interaction,For Consideration,Include,Include,Persuasion as an AI dark pattern
Pool 2 (C&D),When AI gives advice: Evaluating AI and human responses to online advice-seeking for well-being,"Kumar, Harsh; Chahal, Jasmine; Zhao, Yinuo; Zhang, Zeling; Wei, Annika; Tay, Louis; Anderson, Ashton",,For Consideration,Include,Exclude,"Mostly compares human and AI advice, no real mention of dark patterns"
Pool 2 (C&D),When Large Language Models contradict humans? Large Language Models' Sycophantic Behaviour,"Ranaldi, Leonardo; Pucci, Giulia",,Exclude,For Consideration,Include,Study on sycophantic behaviour of multiple language models
Pool 2 (C&D),When customers know it’s AI: Experimental comparison of human and LLM-Based Communication in service recovery,"Hao, X.; Dong, D.; Zhang, Y.; Demir, E.",Journal of Marketing Communications,Exclude,For Consideration,Exclude,Mostly about Human Trust and not AI dark patterns
Pool 2 (C&D),When identity skews debate: Anonymization for bias-reduced multi-agent reasoning,"Choi, Hyeong Kyu; Zhu, Xiaojin; Li, Sharon",,For Consideration,Exclude,Include,Interesting paper to look at
Pool 2 (C&D),When to Explain? Exploring the Effects of Explanation Timing on User Perceptions and Trust in AI systems,"Chen, Cheng; Liao, Mengqi; Sundar, S. Shyam",Proceedings of the Second International Symposium on Trustworthy Autonomous Systems,Exclude,Include,Exclude,more focussed on trust
Pool 2 (C&D),When truth is overridden: Uncovering the internal origins of sycophancy in large Language Models,"Wang, Keyu; Li, Jin; Yang, Shu; Zhang, Zhuoran; Wang, Di",,For Consideration,Include,Include,includes a more technical exploration of sycophancy
Pool 2 (C&D),Who is Trusted for a Second Opinion? Comparing Collective Advice from a Medical AI and Physicians in Biopsy Decisions After Mammography Screening,"Detjen, Henrik H.J.; Densky, Lars; von Kalckreuth, Niklas; Kopka, Marvin",Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,Exclude,Include,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),You Complete Me: Human-AI Teams and Complementary Expertise,"Zhang, Qiaoning; Lee, Matthew L; Carter, Scott",Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,For Consideration,Exclude,Exclude,No explicit mention of dark patterns
Pool 2 (C&D),“Even explanations will not help in trusting [this] fundamentally biased system”: A Predictive Policing Case-Study,"Mehrotra, Siddharth; Gadiraju, Ujwal; Bittner, Eva; van Delden, Folkert; M. Jonker, Catholijn; L. Tielman, Myrthe","Proceedings of the 33rd ACM Conference on User Modeling, Adaptation and Personalization",Exclude,For Consideration,Include,different explanation mediums influencing trust could be considered a dark pattern
Pool 2 (C&D),“I Think You Might Like This”: Exploring Effects of Confidence Signal Patterns on Trust in and Reliance on Conversational Recommender Systems,"Radensky, Marissa; Séguin, Julie Anne; Lim, Jang Soo; Olson, Kristen; Geiger, Robert","Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",For Consideration,Include,Include,confidence signal affect over time could be considered a dark pattern
Pool 2 (C&D),"“It's a Fair Game”, or Is It? Examining How Users Navigate Disclosure Risks and Benefits When Using LLM-Based Conversational Agents","Zhang, Zhiping; Jia, Michelle; Lee, Hao-Ping (Hank); Yao, Bingsheng; Das, Sauvik; Lerner, Ada; Wang, Dakuo; Li, Tianshi",Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems,For Consideration,Exclude,Include,explicit mention of dark patterns in LLM system design
Pool 2 (C&D),"“Robot Emotions Are Not Real!”: Future Factory Workers’ Perceptions, Attitudes, and Experience of Collaborative Robots, Conversational AIs, and AI-Empowered, Voice-Enabled Collaborative Robots","Nielsen, Sara; Jochum, Elizabeth; Li, Chen; Chrysostomou, Dimitrios; Ordoñez, Rodrigo",J. Hum.-Robot Interact.,Include,Exclude,Exclude,Focussed more on collaborative robots rather than AI in and of itself
Pool 2 (C&D),“check my work?”: Measuring sycophancy in a simulated educational context,"Arvin, Chuck",,Exclude,Include,Include,AI tends to agree with the user rather than the facts. Clear demonstration of AI dark patterns
Pool 2 (C&D),"“what's up, doc?”: Analyzing how users seek health information in large-scale conversational AI datasets","Paruchuri, Akshay; Aziz, Maryam; Vartak, Rohit; Ali, Ayman; Uchehara, Best; Liu, Xin; Chatterjee, Ishan; Agrawal, Monica",,Exclude,For Consideration,Exclude,focus is primarily technical; outcome is a dataset
